,AlimentosExistentes,AlimentosFaltantes,ArtculosUrgentes,Calle,Colonia,Delegacinomunicipio,EspecialistasExistentesseparaporcomas,EspecialistasFaltantesseparaporcomas,Estado,HerramientasExistentes,HerramientasFaltantes,Horariodeatencin,Marcatemporal,MedicamentosExistentes,MedicamentosFaltantes,Nombredelcentro,Nombredelcontacto,Nmero,OtrosArtculosqueNecesitan,Serequierevoluntarios,Telfono,TelfonoAcopio,Verificado,latitud,longitud
125,Comida preparada ,Toallas jabn productos higinicos toallas sanitarias plumones ropa toallas baarse,Toallas de baño (secarse) y Zacatecas de baño,Popocatépetl,Sta cruz Atoyac,Benito Juárez,nan,nan,Ciudad de México,Ninguna,Pala pico barreras de todo,24 hrs,21/09/2017 13:40:31,Ninguno,Los que necesiten refrigeracin tienen y del resto tambin,Centros Recreativo Niños Héroes,Alicia Mastretta,276,Comida perros,No,5561619896,,Sí,19.3633858,-99.1589959
126,No aplica,No perecederos,"Detergente, cubetas, escobas, cloro, pino, trapeadores, Papel higiénico, Pañales, toallas sanitarias, cepillos dentales, pasta de dientes, shampoo, jabón corporal",3 oriente,Centro,Puebla,nan,nan,Puebla,No aplica,No aplica,24 horas,21/09/2017 13:42:28,No aplica,Todo tipo de medicamentos,Centro de Acopio - Zócalo de la Ciudad,@PueblaAyto,1,"Material para envolver, cintas, cajas, garrafones vacíos, bolsa de todo tamaño, papel burbuja.",Sí,+52 (222) 309 43 00,,Sí,19.0363726,-98.1511969
128,Todo est completo despus de sta entrega ste centro dejar de estar activoenvo a Tlayacapan Jojutla Cuatla Tlaltizapa Fecha de entrega ,Todo est completo despus de sta entrega ste centro dejar de estar activoenvo a Tlayacapan Jojutla Cuatla Tlaltizapa Fecha de entrega ,"Todo está completo (después de ésta entrega, éste centro dejará de estar activo)envío a Tlayacapan, Jojutla, Cuatla, Tlaltizapa. Fecha de entrega: 21/09/17",Eje Central Lázaro Cárdenas ,Niños Héroes de Chapultepec,Benito Juárez ,nan,nan,Ciudad de México,Todo est completo despus de sta entrega ste centro dejar de estar activoenvo a Tlayacapan Jojutla Cuatla Tlaltizapa Fecha de entrega ,Todo est completo despus de sta entrega ste centro dejar de estar activoenvo a Tlayacapan Jojutla Cuatla Tlaltizapa Fecha de entrega ,13:45,21/09/2017 13:51:13,Todo est completo despus de sta entrega ste centro dejar de estar activoenvo a Tlayacapan Jojutla Cuatla Tlaltizapa Fecha de entrega ,Todo est completo despus de sta entrega ste centro dejar de estar activoenvo a Tlayacapan Jojutla Cuatla Tlaltizapa Fecha de entrega ,Centro de Acopio en Iglesia Nativitas.,Rosa Brito,806,"Todo está completo (después de ésta entrega, éste centro dejará de estar activo)Fecha de entrega: 21/09/17",No,5567894660,,Sí,19.3632557,-99.15122769999999
129,Alimento para perros ,Alimentos para gatos ,Medicamentos para animales,Milán ,Juarez,Cuauhtémoc ,nan,nan,Ciudad de México,Nada,Nada,10:30-20:00 hrs,21/09/2017 13:51:36,Nada,Medicamento para animales,Comedor Milán ,Mariana Mondragon  ,36,Cosas para perros,No,5591319056,,Sí,19.4299177,-99.1568125
130,Pasta atn ,No perecederos comida preparada,"Medicamentos, material de curación, alimento para bebés ",Zacatecas,Roma norte,Cuauhtémoc ,nan,nan,Ciudad de México,No sobran ,Pilas lmparas cascos palas,2pm,21/09/2017 13:52:33,Cubre bocas,Paracetamol analgsico vitaminas suero,Acopio UC,Javier Arrillaga ,120,Comida para animales ,No,5529633505,,Sí,19.4155813,-99.1596462
131,Na,Na,"Material,de,curacion,detergente,toallas,sanitarias,papel,de,baño",Córdoba ,Roma Norte,Na,nan,nan,Ciudad de México,Na,Na,10am a 8pm,21/09/2017 13:58:21,Na,Na,Córdoba 45,Jaager,45,Na,No,551805 5705,,Sí,19.4221097,-99.15961019999999
132,nada,nada,"medicina, herramienta",avenida mexico san gregorio,San Gregorio Atlapulco,xochimilco,nan,nan,Ciudad de México,nada,picos,todo el dia,21/09/2017 14:00:00,nada,Enanapril soluciones para la tos infantil y adulto  dextrometorfano reboxitocina  antidepresivos para la presin,centro medico Santa Fe,caracol,89,medicina,Sí,6228559579,,Sí,19.2534431,-99.0594588
133,Ninguno,Ninguno,"Medicamentos pediátricos, venoclisis, agua oxigenada, mertiolate, salbutamol, gotas para ojos",Emiliano Zapata y División del Norte,Emperadores,Benito Juárez,nan,nan,Ciudad de México,Ninguna,Ninguna,24 horas,21/09/2017 14:02:55,Ninguno,Medicamentos peditricos venoclisis agua oxigenada mertiolate salbutamol gotas para ojos antiinflamatorios antiestamnicos hipertensivos soluciones fisiolgica,Centro de acopio Zapata y División,Margo González,1938,Todos los anteriores,No,5551043892,,Sí,19.3662823,-99.1556306
134,No sobra nada,Gerberpapillas Leche en polvo jugos,"Material para kits de primeros auxilios (algodón, alcohol, agua oxigenada)",Tabasco,Roma Norte,Cuauhtémoc,nan,nan,Ciudad de México,No sobra nada,Palas carretillas guantes de carnaza casco botas cubrebocas picos,,21/09/2017 14:05:46,No sobra nada,Algodn alcohol vendas agua oxigenada jeringas vida suero oral,La Teatrería,La Teatrería,152,"Biberones, escobas, cloro, detergente, shampoo, cepillo de dientes, papel higiénico, pasta de dientes, jabón, toallas sanitarias, biberones, toallas húmedas, alimentos y guantes para patas de mascotas",No,63896695,,Sí,19.4192612,-99.159363
135,nada,sal azucar cafe verduras enlatadas aceite pasta lentejas comida para bebe leche en polvo,"palas, picos, guantes de carnaza, cascos de seguridad, lamparas con pilas, cubrebocas",ramons millan,americas unidas,benito juarez,nan,nan,Ciudad de México,nada,picos palas guantes chalecos antirreflejantes lamparas,hasta las 7 pm,21/09/2017 14:08:52,nada,nada,ramos millan,caracol,55,"articulos de higiene, toallas femeninas, desodorante, pañales para bebe y adultos",No,6228559579,,Sí,19.3833011,-99.1420414
136,Ninguno,Enlatados,"Insulina, vendas, alcohol",Centenario,Del Carmen Coyoacán,Coyoacán,nan,nan,Ciudad de México,Ninguna,Palas picos carretillas todo tipo,8 AM a 10 pm,21/09/2017 14:10:03,Ninguno,Medicamentos refrigerados y de todo tipo ,Cinema Coyoacán,Nicolás Hernández,1592,"Agua ropa, pañales, cobijas",Sí,5545541946,,Sí,19.3537626,-99.1635055
137,Agua comida perecedara,No perecederos,"Medicamentos, artículos de higiene, alimento para bebé, herramienta,",Acoxpa,Vergel Sur,Tlalpan,nan,nan,Ciudad de México,Papel higienico,Carretillas Palas ,10:00- 5:00,21/09/2017 14:18:34,No sobran,Suero Oral ,Centro de Acopio Colegio México ,Jime Ortega,3,"ropa, juguetes para niños,  Cajas, gasas, guantes, gasas, gel antibacterial, cuadernos, crayolas.",Sí,55840921,,Sí,19.2991827,-99.1421745
139,Comida preparada,Todos,"Herramientas, enlatados, medicamentos",Calle Gabriel Mancera,Del Valle norte,Benito Juárez,nan,nan,Ciudad de México,Ninguna,Casco pala pico lmpara pilas,24 hrs.,21/09/2017 14:23:30,Ninguno,Antibiticos analgsicos,Gabriel mancera y obrero mundial,Carlos Gavira,10,Oxígeno,No,5568037976,,Sí,19.4010564,-99.16114569999999
140,Comida preparada,Todos,"Herramientas, enlatados, medicamentos",Calle Gabriel Mancera,Del Valle norte,Benito Juárez,nan,nan,Ciudad de México,Ninguna,Casco pala pico lmpara pilas,24 hrs.,21/09/2017 14:23:31,Ninguno,Antibiticos analgsicos,Gabriel mancera y obrero mundial,Carlos Gavira,10,Oxígeno,No,5568037976,,Sí,19.4010564,-99.16114569999999
141,nada,nada,medicinas,avenida mexico ,san gregorio,xochimilco,nan,nan,Ciudad de México,nada,picos palas,todo el dia,21/09/2017 14:23:58,nada,Enanapril soluciones para la tos infantil y adulto  dextrometorfano reboxitocina antidepresivos y para la presin,arroquia San Gregorio Magno,caracol,1,nada,Sí,6228559579,,Sí,19.2534343,-99.0581618
142,No,NO se recibien alimentos perecederos,Reciben todo menos alimentos perecederos.,Avenida Universidad, Sta Cruz Atoyac,Ciudad México,nan,nan,Ciudad de México,No,Todos,,21/09/2017 14:27:25,No,Todos,Secretaría de Obras y Servicios Dirección General Del Proyecto Metro Contraloría Interna en la S.O.S.,No,800,Todos menos alimentos perecederos,No,No,,Sí,19.3921665,-99.1505894
143,no se,pasta alimentos enlatados ,"atun, frijol, sal, azucar, alimentos enlatados, pañales, toallas, papel higienico, ",calzada tlalpan ,americas unidas,benito juarez,nan,nan,Ciudad de México,nada,lamparas pilas encendedores fosforos,hasta las 8 pm,21/09/2017 14:28:51,no se,no se,villa de cortes,caracol,1017,"cubrebocas, cobijas, sabanas, velas, pasta dental, ",No,6228559579,,Sí,19.3823019,-99.13988359999999
144,ninguno,Imperecederos ,ninguno,Canal de Chalco y Langosta,Del Mar,Tlàhuac,nan,nan,Ciudad de México,ninguna,ninguna en particular,abierto,21/09/2017 14:29:43,ninguno,todos solucin Hartman salina  glucosa equipo de venoclisis punzocat verde o azul,Universidad Marista,Ssicaru,0,todos de ayuda,Sí,445539628701,,Sí,19.280253,-99.0596987
145,Atn,Frmula de leche en polvo ,"COLCHONETAS, cubrebocas, artículos higiene personal, material curación, gotas para ojos y oídos, gel antibacterial, termómetros, sueros, pañales, biberones, artículo bebé, picos, guantes de carnaza",Miguel Ángel de Quevedo,sra Catalina,Coyoacán,nan,nan,Ciudad de México,Ninguna,Picos palas cascos guantes carnaza,9 AM a 7 om,21/09/2017 14:39:32,Pocos,Insulina para hipertensin paracetamol y analgsicos frulas MEDICAMENTOS PEDITRICOS sueros,CAM centro cultural de música y artes,Julia Villa,296,Colchonetas,No,67218720,,Sí,19.3463496,-99.17688319999999
146,No sobra,Alimento enlatado agua,No especifica,Orizaba ,Roma Norte,Cuauhtémoc,nan,nan,Ciudad de México,Ninguna,Guantes cascos palas picos,,21/09/2017 14:39:41,Ninguno,Cubrebocas Guantes Isodine Jabn quirrgico Jeringas Vendas Alcohol Agua oxigenada Ampicilina Ketorolaco Iburpofeno Paracetamol Captopril Metformina,Casa Universitaria del Libro,"Casa Universitaria del Libro, CASUL",24,"Cobijas, Ropa, Artículos de higiene personal",No,5207 9390 y 5207 9871,,Sí,19.4229219,-99.1608212
147,Enlatados,Enlatados,"Agua, medicinas, artículos de higiene personal",Calzada de Tlalpan,Santa Úrsula Coapa,Tlalpan,nan,nan,Ciudad de México,No lo se,Cascos,Todo el dia,21/09/2017 14:42:06,Pocos,De todo,Estado Azteca,Dalia García,3465,Ropa,Sí,5517001170,,Sí,19.3019514,-99.1472776
148,Enlatados perecederos agua,Ninguno,Ninguno,Uxmal ,Santa Cruz Atoyac,Benito Juárez,nan,nan,Ciudad de México,Ninguna,Ninguna,24 horas,21/09/2017 14:46:10,Suficientes,Productos de limpieza e higiene personal,Centro Deportivo Delegación Benito Juárez,Roberto Ruíz,807,"Ropa, ",Sí,5529095950,,Sí,19.3724455,-99.15843120000001
149,NA,Alimentos para beb,N/A,Barranca del Muerto ,Guadalupe Inn ,Álvaro Obregón,nan,nan,Ciudad de México,NA,Pilas linternas,"Sólo el 21 y 22 de septiembre las 24 hrs, se entregarán el 22 de septiembre por la tarde para Benito Juárez, Xochimilco, Cuauhtémoc y en ciertos albergues de Morelos, Cuernavaca, Jiutepec y Tetela del Volcán.",21/09/2017 14:55:08,Paracetamol  Westepiron  Fasiclor  Bencilpenicilina Procanica con Bencilpenicilina cristalina  ,Paracetamol diclofenaco ibuprofeno aspirinas,Centro de Acopio De la Riva Group,Cordelia Serrano,348,"pañales, sábanas, cobijas, colchonetas, ropa en buenas condiciones, papel de baño, toallas femeninas, cepillos de dientes, pañales de adultos, jeringas, vendas, gasas, sueros bebibles. ",No,5522602011,,Sí,19.3623184,-99.1873294
151,no se,comida para bebe alimentos enlatados pan fruta ,"agua, papel higienico, toallas sanitarias, cafe ",eugenia ,narvarte,benito juarez,nan,nan,Ciudad de México,no se,guantes,todo el dia,21/09/2017 15:05:53,no se,no se,eugenia,caracol,1459,"papel higieno, pañales, toallas humedas, cobijas, bolsas de platico, pilas, ",No,6228559579,,Sí,19.3847895,-99.1552334
152,Atn y frijoles enlatados ,Platillos de comida como picadillo sopa seca frijoles nopales arroz pollo gelatinas PROTENA,"Comida preparada caliente, cubiertos desechables (cucharas y tenedores), dulces sueltos (chocolates, galletas en paquetes pequeños), barras energéticas, electrolitos y Gatorade. Necesitamos paquetes pequeños que podamos repartir a los brigadistas, a granel no nos sirve. ",Gabriel Mancera,Del Valle,Benito Juárez ,nan,nan,Ciudad de México,Acera de enfrente ,Lmparas para casco ,Permanente,21/09/2017 15:06:12,El centro de medicamentos es en la acera de enfrente ,Aqu no se necesitan ,Eugenia & Gabriel Mancera,Rogelio Moreno,837,"Plumones, café caliente (cada 3 horas)",Sí,5554075021,,No,19.3853899,-99.1645688
153,No requeridos,No requeridos,Hielo para insulina.,Álvaro Obregón,Roma,Cuauhtémoc,nan,nan,Ciudad de México,, plantas de luz de   plantas de luz de  motosierras cortadoras serruchos llaves espaolas discos de esmeril diamante flexmetros cascos chalecos cutters megfono lmparas de cabeza lentes de proteccin pinzas de corte brocas para madera y concreto clavos de ,,21/09/2017 15:06:19,Insulina,Material de curacin,Álvaro Obregón 286,Miguel Ángel Muñoz,286,"Impermeables, hojas de triplay, arneces, gasolina.",No,5539967156,,Sí,19.4162314,-99.1683963
154,Botellas de agua,Medicamentos,"Material de limpieza, medicamentos",Álvaro Obregón ,Roma,Cuauhtémoc ,nan,nan,Ciudad de México,Ninguna,Todo tipo,8pm,21/09/2017 15:08:28,Ninguno,Todo tipo,Renault Roma,César Ramírez,171,Alimentos para bebé ,No,5554014325,,Sí,19.3996678,-99.1172286
155,Agua y pan ,Agua,"Comida,materia prima, agua ",Tonalá,Roma sur ,Cuauhtémoc ,nan,nan,Ciudad de México,Palaspicoscuerdas,Palas,12:00 pm 12:00 am,21/09/2017 15:11:07,Ninguno ,No necesario,Tonalaya Aguascalientes ,Héctor Guzmán ,249,Gente brigadista,Sí,5545315584,,No,19.4094007,-99.160544
156,Comida perecedera,Dulces barras energticas caramelos chocolates,"Agua oxigenada, alcohol, jeringas de 10 y 5, gaza, gel antibacterial y medicamentos en general",Avenida Eugenia ,Narvarte Poniente,Benito Juárez,nan,nan,Ciudad de México,Ninguna,Cascos guantes linterna cuerdas,24 horas,21/09/2017 15:11:11,Ninguno,Agua oxigenada alcohol jeringas de  y  gaza gel antibacterial y medicamentos en general sueros electrolitos en polvo,Acopio Eugenia y División del Norte,Kiara Araiz,1104,"Cajas, cinta adhesiva",Sí,5522639645,,Sí,19.3859969,-99.16099779999999
157,Completos sin falta,Ninguno,Ninguno,Huatabampo,Roma sur,Cuahutemoc,nan,nan,Ciudad de México,Completo,Ninguno,1hr,21/09/2017 15:12:22,Completos,Nunguno,Secretaria de hacienda,36885313,321,Ninguno,No,5536885313,,Sí,19.4073696,-99.1577296
158,,Viveres,-,Transmisiones ,Rancho los Colorines,Tlalpan,nan,nan,Ciudad de México,,,,21/09/2017 15:14:09,,Todos,Preparatoria La Salle del Pedregal,Edgar Cerezo,51,"Cobijas, agua",No,5518332947,,Sí,19.286436,-99.14005920000001
159,no sobra nada,Croquetas para perro alimentos no perecedero leche en polvo,"leche en polvo, pañales para bebe, ropa para bebe, biberones, artículos de higiene personas,  artículos de limpieza, toallas sanitarias.",Club Nuevo Leon ,Lazaro Cardenas,Tlalpan,nan,nan,Ciudad de México,no sobra,no reciben,7:00 a 21:00,21/09/2017 15:18:34,no sobran, antibiticos,Centro de Acopio Coapa,Diego Trejo,18,"ropa, zapatos,  medicamentos,  casas de campaña, agua, papel sanitario, collarines.",No,5533825379,,Sí,19.2961446,-99.1351304
160,Lunch agua revitalizantes,Alimentos enlatados ,"productos para bebé, medicinas, alimentos para mascota, bolsas de basura",Colima,Roma Norte ,Cuauhtémoc ,nan,nan,Ciudad de México,No disponible ,No disponible ,12 a 20 ,21/09/2017 15:18:41,Tempra,Salbutamol guantes desechables agua oxigenada venda  cm solucin Hartman jeringas  y  analgsicos antibitico ,Destructible,Person Medrano,244,Bolsas basura,No,5555111217,,Sí,19.4190438,-99.16325830000001
161,ND,Comida empaquetada no perecedero,"Despensas, medicamentos, ropa, herramienta",Calle Augusto Rodín,Noche Buena,Benito Juarez,nan,nan,Ciudad de México,Palas picos cascos guantes extensiones lmparas cuerdas lonas,Palas picos cascos guantes extensiones lmparas cuerdas lonas,09:00 - 21:00,21/09/2017 15:18:50,Todos,Todos,Plaza de Toros México,Héctor Escajadillo,241,-,Sí,5527830500,,Sí,19.3831305,-99.18068889999999
165,Comida de perro ,Transporte ,Transporte ,Nayarit ,Roma sur,Cuauhtémoc ,nan,nan,Ciudad de México,Transporte ,Transporte ,9:00 am 8:00pm ,21/09/2017 15:28:57,Ninguno ,Ninguno ,Casa del Meztizo ,Eduardo Alcántara ,31,Transporte ,Sí,Ninguno ,,No,19.4097595,-99.16243279999999
166,Completo,Ninguno,"Articulos de hiegiene, agua , sopas, arros aceite bolsas de basura gruesas casas de campaña",Jalapa,Roma sur,Cuahutemoc ,nan,nan,Ciudad de México,Semi completo,Casas de campaa bolasas de basura cobijas ,24hrs,21/09/2017 15:29:21,Completo,Completo,El Huerto,Francisco,524,Semi completo,Sí,33226920,,Sí,19.40901,-99.15989680000001
167,Alimentos No Perecederos,Ninguno,"Medicinas, aparatos funcionales, artículos de higiene personal y de limpieza, herramientas y materiales de construcción.",Ejército Oriente,Zona de los Fuertes,Puebla,nan,nan,Puebla,Ninguna,Todas,24 hrs,21/09/2017 15:31:06,Botiquines de primeros auxilios,Todos,Centro Expositor Puebla (SEDIF),Gabriela Medina,100,Urgente medicinas,Sí,2223220132,,Sí,19.0604061,-98.1717121
168,Ninguno,Enlatados leche en polvo leche lquida alimentos preparados,"Palas, picos, carretillas, cascos",Av Revolución,La Otra Banda,Coyoacán,nan,nan,Ciudad de México,Ninguna,Guantes de carnaza picos palas ,9 AM a 10 pm,21/09/2017 15:32:28,Ninguno,Jeringas gasas curacin,Plaza Vista Pedregal,Antonio Pérez Fuentes,2015,Alimentos perro,No,5533334040,,Sí,19.3353147,-99.1931955
169,Atn enlatado,Enlatados no perecederos,Agua y víveres ,Ures,Roma Sur,Cuauhtémoc,nan,nan,Ciudad de México,Ninguna,Cascos guantes mareos palas y picos,5:00 pm,21/09/2017 15:32:56,Alcohol y gasas,Medicamentos en general,Ures 93,Alberto López,93,"Ropa, cobijas",No,5534178192,,Sí,19.404078,-99.1577897
170,Despensas variadas enlatados galletas arroz frijol pasta aceite Gatorade electrolitos papel de bao frijoles arroz ,Comida para bebs,"Higiene personal,",Augusto Rodin,Insurgentes Mixcoac,Benito Juárez,nan,nan,Ciudad de México,Cubetas linternas guantes ,Picos palas mazos pilas para linternas D lonas tapabocas cascos botas de construccin diversos nmeros picos ,24/7 ,21/09/2017 15:33:25,Antibiticos antibiticos pediatricos broncodilatadores medicamentos pediatricos varios analgesicos medicamentos gastrointestinales kits de curacin bsica jeringas puntas nasales collarines guantes quirurgicos,Insulina hipoglucemiantes orales alcohol desinfectantes yodo venoclisis punzocats antihipertensivos,Universidad Panamericana Mixcoac,Santiago Seguí,460,"Cintas para armar cajas, pañales, toallas femeninas ",No,5521490548,,Sí,19.3738197,-99.1837414
171,Ninguno an,Atn pasta para sopa frijol arroz aceite maseca leche en polvo verdura en lata galletas sardina lenteja avena azcar cereal caf mermelada mayonesa mostaza galletas saladas y leche,Todos,Paseo de la Reforma,Lomas de Chapultepec,Miguel Hidalgo,nan,nan,Ciudad de México,Ninguno an,Materiales de construccin,8:00 am - 10:00 pm,21/09/2017 15:35:53,Ninguno an,Medicamento pedatrico,Un Kilo de Ayuda,Manuel Iturbide,1110,"Servilletas, papel higiénico, toallas femeninas, detergente, jabón",No,04455 55069720,,Sí,19.4201917,-99.21769809999999
172,Principales necesidades ,ArrozFrijol ,De todo,Xalapa,Roma sur,Cuauhtémoc ,nan,nan,Ciudad de México,Pala,Marrospicos y palas ,10:00 am 10:00 pm ,21/09/2017 15:37:23,Jeringas,De todo ,Dance floor,Sergio  colmenares ,92,"Cobijas, almohada ",No,5531841506,,No,19.4192595,-99.1613583
173,Para beb electrolitos agua comida enlatada ,Todo se recibe ,"Material de curación, vendas, jeringas, gasas, alcohol",Av.x México Xochimilco ,Huichapan,Xochimilco ,nan,nan,Ciudad de México,Palas escobas ,Pica piedras ,8am-6:30pm,21/09/2017 15:37:48,Antiinflamatorio,Solucin harmann equipo de curacin ,Colegio Alemán Xochimilco,Colegio alemán ,5501,Todo se recibe ,No,044(55) 2272 8243,,Sí,19.2646027,-99.12050819999999
174,Agua arroz galletas caf azcar sopas de pasta,Leche en polvo alimentos enlatados,"Medicamento sin caducar, gasas, vendas y suero.",Plaza de la constitución ,Centro de Tlalpan ,Tlalpan ,nan,nan,Ciudad de México,Guantes de carnaza picos palas cubetas ,Casco picos palas lmpara mascarillas lazos,8:00 a 20:00 ,21/09/2017 15:39:10,Termmetro Dock ofensa contra paracetamol ciprofloxamina piroxican cido acetilico potasio captropil omeoprazol naproxeno ketorolaco ,Suero gasas vendas albendazol diapsona trimetropina sulfametoxazol estambutol oxicodona epinefrina efedrina propofol ketamina solucin glucosada fentanila dupamina epinecrina mascarilla laringea baumanmetro ,Centro de Tlalpan ,Laura Hernández ,1,"Pilas, extensiones de luz",No,54861549,,No,19.2890135,-99.1670631
175,De todo,Leche en polvo,"Agua, artículos de primera necesidad niños y mujeres",Morelos ,Juárez,Cuauhtémoc,nan,nan,Ciudad de México,No manejan herramientas,Ninguna,10-19,21/09/2017 15:39:44,Ninguno,Todos,La Bici Urbana,Luis Hernández o Fabiola 🏰,70,"Salbutamol, vacunas tétanos, cloro",No,55350240,,Sí,19.3957855,-99.12755039999999
176,Completo,General,Medicamentos casas de campaña alimentos enlatados agua articulos de hijiene personal,Antoneo m.anza,Roma Norte,Cuahutemoc ,nan,nan,Ciudad de México,Ninguna,General,21hrs,21/09/2017 15:43:13,Geringas,En general,Estacion de policia,Francisco Serrano,0,Medicamentos casas de campaña alimentos enlatados agua articulos de hijiene personal,No,52425100,,Sí,19.4117903,-99.155659
178,NA,Enlatados para brigadistas en zonas aledaas,N/A,Eje Central,Narvarte Oriente,Benito Juárez,nan,nan,Ciudad de México,NA,Guantes cinta canela picos cinceles palas bateras linternas lmparas herramientas de corte cascos lentes de proteccin mazos pinzas de corte mascarillas poleas,5 pm - 10 pm,21/09/2017 15:51:11,NA,NA,                      Zona 3 crossfit,Diana Silva,511,"Equipo médico: Guantes de látex, gasas, punzos (del 14 al 22), electrodos, llaves de 3 vías, jeringas (5 o 10 ml), cubrebocas.",No,5511886568,,Sí,19.3972409,-99.14595709999999
179,Sopes,No,No,Orizaba ,Roma norte ,Cuauhtémoc ,nan,nan,Ciudad de México,No,No,9:00 a 3:00,21/09/2017 15:52:57,No,No,Maizajo,Santiago muñoz ,219,No,No,5554540755,,Sí,19.411972,-99.1584261
180,No tenemos ,Comida enlatada comida instantnea galletas chocolates dulces,Por el momento nada ,Zacatecas ,Roma norte ,Cuauhtémoc ,nan,nan,Ciudad de México,Nada ,Picos seguetas cascos sizayas arcos de seguetas barreras discos de corte para metal pinzas de corte esmeril mazos guantes de carnaza chalecos,10:00 am - 21:00 pm ,21/09/2017 15:59:08,Gasas,Collarines gotas para ojos analgsicos antiinflamatorios adrenalina suero soluciones salinas vendas gel antibacterial alcohol agua oxigenada guantes quirrgicos cubre bocas tela adhesiva toallas sanitarias papel higinico penicilina vacuna contra  tutanos micropor ,Broka,Cristina Margain ,130,"Lámparas, pilas, lámparas de minero ",No,5524423856,,Sí,19.4157433,-99.1601511
181,Comida agua pasta de dientes papel de bao cloro medicamentos,Atn sopas instantneas galletas cereal sardinas verduras enlatadas pan barritas nutritivas paales alimentos de bebe,"Atún, cubiertos, platos, frijoles, pasta, enlatados, leche, jugo, harina, artículos de higiene, toallas femeninas ",Andrés Henestrosa ,Las Águilas ,Álvaro Obregón ,nan,nan,Ciudad de México,Ninguna ,Todo tipos de herramientas,24 hrs,21/09/2017 15:59:14,Alcohol ibuprofeno antiinflamatorios paracetamol gasas guantes ,Antibiticos  antinflamatorios antidiarreicos ,Centro de Acopio para Puebla y Morelos,Pepe Villalobos,40,Ninguno,No,5527028527,,Sí,19.3610954,-99.2016579
182,,Agua enlatados,"Cobijas, cuerdas",Lirios,Bugambilias,Puebla,nan,nan,Puebla,,,8-18 HRS.,21/09/2017 16:07:03,Alcohol ,De todo,Rocca Consultor ,Eurípides Flores,6178,.,No,5510825309,,Sí,19.0088948,-98.2170692
183,Ya se enviaron,Ninguno,"Chamarras, suéteres, lámparas, materiales de construcción para albergues Ecatzingo Estado de México. ",Juárez ,Centro,Cuauhtémoc,nan,nan,Ciudad de México,Ninguna,Picos palas guantes de carnaza lmparas tiendas de campaa linternas lonas materiales y artculos para construr albergues,10:00 am a 8:00 pm,21/09/2017 16:09:46,Ninguno,No hay demanda especfica,Juárez 18,Darío Fimbres,18,Materiales de construcción para Ecatzingo Estado de México,No,5546042386,,Sí,19.4340877,-99.14224730000001
184,De todo un poco,Ninguno ,Cinta adhesiva ,Orizaba,Roma sur,Cuauhtémoc ,nan,nan,Ciudad de México,Ninguno ,Ninguno ,Hasta la 6pm ,21/09/2017 16:13:18,De todo en existencia ,Ninguno ,ADM cóndor ,Auri Anahí Martínez Hernández ,53,Ninguno ,No,5522708706,,Sí,19.4187379,-99.15991199999999
187,Frijoles en bolsa enlatados,Enlatados y no perecederos,"Medicamentos, toallas, papel higiénico, cobijas.",Juárez y Eje Central,Centro,Cuauhtémoc,nan,nan,Ciudad de México, par de guantes  par de lentes ,Picos palas cascos cubrebocas cuerdas lmparas bateras guantes ,9:00 am a 8:00 pm,21/09/2017 16:21:25,Vendas gasas alcohol cubrebocas aguja para coser torundas inyectables ketorolaco paracetamol ,Pasta de dientes cepillos jabn toallas sanitarias paales,AMCED,María Gabriela Zarco Nava,0,"Agua, productos de limpieza, papel higiénico.",No,5542513135,,Sí,19.4342606,-99.14087660000001
188,Sin respuesta ,Alimentos para bebes croquetas,"herramientas, lamparas, pañales, toallas sanitarias, papel higienico, alcohol, jeringas, ropa.",Dr Rio de la Loza,Doctores,Cuauhtemoc,nan,nan,Ciudad de México,Palas picos ,Discos cascos guantes pilas,10 am 18 hrs,21/09/2017 16:22:54,Insulina aspiririas etc,Insulinas cuentan con refri ,Arena Mexico,Maria Barbara ,238,Mamilas,No,5530405058,,Sí,19.4254302,-99.15197180000001
189,NA,NA,repelente de mosquitos,Calle 7,San Pedro de los Pinos,Benito Juárez,nan,nan,Ciudad de México,NA,NA,hoy hasta las 7pm ,21/09/2017 16:25:46,NA,NA,Parque Pombo,Cecilia Román,67,cosas para bebé,Sí,5511188996,,Sí,19.432971,-99.0473459
190,muchosalimentosperecederos,enlatados,"cajas,bolsas de basura, bolsas de super,hielos,hieleras",Michoacán ,Hipódromo Condesa,Cuauhtémoc,nan,nan,Ciudad de México,cubetaspalaspicos,Nos,,21/09/2017 16:26:30,paracetamoletc,insulinaoxgenopuntas de oxgenolaringoscopiosagua inyectableequipo quirrgico,Parque México,Ana Sofía Rodríguez,39,"alimento para bebés,kits de higiene",No,5513208983,,Sí,28.3911018,-106.8522293
191,Gerber leche en polvo aceite frijol sopa azcar enlatados,Ninguno,"Collarines, lonas, cobijas, casas de campaña, pilas",Patriotismo,Mixcoac,Benito Juárez,nan,nan,Ciudad de México,Ninguna,Lmparas pilas martillos cerillos pinzas palas picos cubetas lonas lazos,9 AM 7 pm,21/09/2017 16:26:58,Mertiolate alcohol algodn,Suero solucin para venoclisis coyarines antibiticos material limpieza gotas para ojos vendas ,FONART,José Luis Galicia Olivo,691,Casas de campaña,No,5571944323,,Sí,19.3799169,-99.1849409
